                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.40529,                0.46051,                 0.9416,                0.99396,                      1,                  0.995,                0.82698,                0.78695,                0.53835,                 1.1774,              0.0008318,              0.0008318,              0.0008318
                     61,                0.43674,                0.47728,                0.89414,                0.99376,                      1,                  0.995,                0.83568,                  0.763,                0.55285,                 1.1133,               0.000812,               0.000812,               0.000812
                     62,                0.45603,                0.47436,                0.95715,                0.99312,                      1,                  0.995,                0.79956,                0.78858,                0.60082,                 1.0996,              0.0007922,              0.0007922,              0.0007922
                     63,                0.43433,                0.44889,                0.91481,                0.99027,                      1,                  0.995,                0.76784,                0.78515,                0.61302,                 1.1068,              0.0007724,              0.0007724,              0.0007724
                     64,                0.42635,                0.47305,                0.94395,                0.99035,                      1,                  0.995,                0.78117,                0.76797,                0.57797,                 1.1412,              0.0007526,              0.0007526,              0.0007526
                     65,                0.41404,                0.44614,                0.95873,                0.99082,                      1,                  0.995,                0.76885,                0.78384,                0.56124,                 1.1812,              0.0007328,              0.0007328,              0.0007328
                     66,                0.39951,                0.42829,                0.90496,                0.99048,                      1,                  0.995,                0.75676,                0.83259,                0.56793,                 1.2256,               0.000713,               0.000713,               0.000713
                     67,                0.39844,                0.46584,                 0.9423,                0.99221,                      1,                  0.995,                0.76094,                0.82951,                 0.5338,                   1.24,              0.0006932,              0.0006932,              0.0006932
                     68,                0.38663,                0.45108,                0.93109,                 0.9929,                      1,                  0.995,                0.74501,                0.78387,                0.51538,                 1.2091,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.3616,                0.41828,                0.91554,                0.99334,                      1,                  0.995,                0.74496,                0.82797,                0.50498,                 1.2539,              0.0006536,              0.0006536,              0.0006536
                     70,                0.36535,                0.40167,                0.87931,                0.99368,                      1,                  0.995,                0.76834,                0.88166,                0.48437,                 1.3284,              0.0006338,              0.0006338,              0.0006338
                     71,                0.36227,                 0.4282,                0.92518,                0.99345,                      1,                  0.995,                0.75952,                0.85965,                0.49274,                 1.3677,               0.000614,               0.000614,               0.000614
                     72,                0.37066,                0.43664,                0.89478,                0.99381,                      1,                  0.995,                0.80096,                0.85669,                0.49223,                 1.4312,              0.0005942,              0.0005942,              0.0005942
                     73,                0.39704,                 0.4258,                0.91859,                 0.9941,                      1,                  0.995,                0.77999,                0.94917,                0.49975,                 1.6163,              0.0005744,              0.0005744,              0.0005744
                     74,                0.37871,                0.42906,                 0.9289,                0.99399,                      1,                  0.995,                0.78153,                 0.9605,                0.51602,                  1.581,              0.0005546,              0.0005546,              0.0005546
                     75,                0.38227,                0.44059,                0.92057,                0.99403,                      1,                  0.995,                0.79352,                0.92459,                0.49826,                 1.4685,              0.0005348,              0.0005348,              0.0005348
                     76,                0.35729,                0.40821,                0.90297,                0.99466,                      1,                  0.995,                0.79928,                 0.8519,                0.47219,                 1.3713,               0.000515,               0.000515,               0.000515
                     77,                0.36739,                0.41469,                0.90927,                 0.9946,                      1,                  0.995,                0.80225,                0.80074,                0.46159,                 1.3456,              0.0004952,              0.0004952,              0.0004952
                     78,                0.34717,                0.38405,                0.89034,                0.99427,                      1,                  0.995,                    0.8,                0.83884,                0.46653,                 1.3455,              0.0004754,              0.0004754,              0.0004754
                     79,                0.39218,                0.44026,                0.93014,                0.99382,                      1,                  0.995,                0.79869,                0.84683,                0.49043,                 1.3386,              0.0004556,              0.0004556,              0.0004556
                     80,                0.37877,                0.39195,                0.92266,                0.98864,                      1,                  0.995,                0.75197,                0.83749,                0.51213,                 1.3341,              0.0004358,              0.0004358,              0.0004358
                     81,                 0.3547,                0.37007,                 0.9167,                0.99247,                      1,                  0.995,                0.73813,                0.83025,                0.54499,                 1.3406,               0.000416,               0.000416,               0.000416
                     82,                0.34537,                0.37176,                0.92053,                 0.9938,                      1,                  0.995,                0.74515,                0.83281,                0.55154,                 1.3337,              0.0003962,              0.0003962,              0.0003962
                     83,                0.34878,                0.37588,                0.88264,                0.99415,                      1,                  0.995,                 0.7294,                0.86329,                0.56001,                 1.3485,              0.0003764,              0.0003764,              0.0003764
                     84,                0.36006,                0.36578,                 0.9144,                0.99473,                      1,                  0.995,                0.72927,                0.88937,                0.58196,                 1.3788,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.3319,                0.39031,                0.89761,                0.99592,                      1,                  0.995,                0.72446,                0.90847,                 0.6212,                 1.4053,              0.0003368,              0.0003368,              0.0003368
                     86,                0.33117,                0.39583,                0.92337,                 0.9978,                      1,                  0.995,                0.70475,                0.92434,                0.60549,                 1.4163,               0.000317,               0.000317,               0.000317
                     87,                0.33968,                  0.377,                0.90042,                      1,                0.99948,                  0.995,                0.71206,                0.89713,                0.62063,                  1.401,              0.0002972,              0.0002972,              0.0002972
                     88,                0.29637,                0.36344,                0.88833,                      1,                0.99943,                  0.995,                0.71206,                0.87236,                 0.6315,                 1.3841,              0.0002774,              0.0002774,              0.0002774
                     89,                0.30924,                0.34715,                0.89272,                      1,                0.99967,                  0.995,                0.72064,                0.87007,                0.62534,                 1.3877,              0.0002576,              0.0002576,              0.0002576
                     90,                0.30835,                0.34728,                0.90031,                0.99995,                      1,                  0.995,                0.74174,                0.87786,                0.61522,                 1.4032,              0.0002378,              0.0002378,              0.0002378
